valid_time,latitude,longitude,mean_tp
20-11-24,18.8,72.8,0
21-11-24,19.05,72.8,0
21-11-24,18.8,72.8,0
22-11-24,19.05,72.8,0
22-11-24,18.8,72.8,0
23-11-24,19.05,72.8,0
23-11-24,18.8,72.8,0
24-11-24,19.05,72.8,0
24-11-24,18.8,72.8,0
25-11-24,19.05,72.8,0
25-11-24,18.8,72.8,0
26-11-24,19.05,72.8,0
26-11-24,18.8,72.8,0
27-11-24,19.05,72.8,0
27-11-24,18.8,72.8,0
28-11-24,19.05,72.8,0
28-11-24,18.8,72.8,0
29-11-24,19.05,72.8,0
29-11-24,18.8,72.8,0
30-11-24,19.05,72.8,0
30-11-24,18.8,72.8,0
01-12-24,19.05,72.8,0
01-12-24,18.8,72.8,0
02-12-24,19.05,72.8,0
02-12-24,18.8,72.8,4.65E-07
03-12-24,19.05,72.8,2.90E-07
03-12-24,18.8,72.8,1.82E-06
04-12-24,19.05,72.8,8.36E-07
04-12-24,18.8,72.8,2.42E-06
05-12-24,19.05,72.8,0
05-12-24,18.8,72.8,0
06-12-24,19.05,72.8,0
06-12-24,18.8,72.8,0
07-12-24,19.05,72.8,0
07-12-24,18.8,72.8,0
08-12-24,19.05,72.8,0
08-12-24,18.8,72.8,0
09-12-24,19.05,72.8,0
09-12-24,18.8,72.8,0
10-12-24,19.05,72.8,0
10-12-24,18.8,72.8,0
11-12-24,19.05,72.8,0
11-12-24,18.8,72.8,0
12-12-24,19.05,72.8,0
12-12-24,18.8,72.8,0
13-12-24,19.05,72.8,0
13-12-24,18.8,72.8,0
14-12-24,19.05,72.8,0
14-12-24,18.8,72.8,0
15-12-24,19.05,72.8,0
15-12-24,18.8,72.8,0
16-12-24,19.05,72.8,0
16-12-24,18.8,72.8,0
17-12-24,19.05,72.8,0
17-12-24,18.8,72.8,0
18-12-24,19.05,72.8,0
18-12-24,18.8,72.8,0
19-12-24,19.05,72.8,0
19-12-24,18.8,72.8,0
20-12-24,19.05,72.8,4.37E-08
20-12-24,18.8,72.8,0
21-12-24,19.05,72.8,7.94E-09
21-12-24,18.8,72.8,1.99E-08
22-12-24,19.05,72.8,1.45E-05
22-12-24,18.8,72.8,1.15E-05
23-12-24,19.05,72.8,2.57E-05
23-12-24,18.8,72.8,2.82E-05
24-12-24,19.05,72.8,2.08E-11
24-12-24,18.8,72.8,3.18E-08
25-12-24,19.05,72.8,0
25-12-24,18.8,72.8,0
26-12-24,19.05,72.8,0
26-12-24,18.8,72.8,0
27-12-24,19.05,72.8,1.65E-06
27-12-24,18.8,72.8,8.02E-07
28-12-24,19.05,72.8,1.29E-06
28-12-24,18.8,72.8,1.25E-06
29-12-24,19.05,72.8,0
29-12-24,18.8,72.8,0
30-12-24,19.05,72.8,0
30-12-24,18.8,72.8,0
31-12-24,19.05,72.8,0
31-12-24,18.8,72.8,0
